AAR2,AASS,AATF,ABCC1,ACAD9,ACADM,ACSL3,ADAM9,ADAMTS1,AGPS,AKAP8,AKAP8L,AKAP9,ALG11,ALG5,ALG8,ANO6,AP2A2,AP2M1,AP3B1,ARF6,ARL6IP6,ATE1,ATP13A3,ATP1B1,ATP5L,ATP6AP1,ATP6V1A,BAG5,BCKDK,BCS1L,BRD2,BRD4,BZW2,C1orf50,CCDC86,CDK5RAP2,CENPF,CEP112,CEP135,CEP250,CEP350,CEP68,CHMP2A,CHPF,CHPF2,CISD3,CIT,CLCC1,CLIP4,CNTRL,COL6A1,COLGALT1,COMT,COQ8B,CRTC3,CSDE1,CSNK2A2,CSNK2B,CUL2,CWC27,CYB5B,CYB5R3,DCAF7,DCAKD,DCTPP1,DDX10,DDX21,DNAJC11,DNAJC19,DNMT1,DPH5,DPY19L1,ECSIT,EDEM3,EIF4E2,EIF4H,ELOB,ELOC,EMC1,ERC1,ERGIC1,ERLEC1,ERMP1,ERO1B,ERP44,ETFA,EXOSC2,EXOSC3,EXOSC5,EXOSC8,F2RL1,FAM162A,FAM8A1,FAM98A,FAR2,FASTKD5,FBLN5,FBN1,FBN2,FBXL12,FKBP10,FKBP15,FKBP7,FOXRED2,FYCO1,G3BP1,G3BP2,GCC1,GCC2,GDF15,GFER,GGCX,GGH,GHITM,GIGYF2,GLA,GNB1,GNG5,GOLGA2,GOLGA3,GOLGA7,GOLGB1,GORASP1,GPAA1,GPX1,GRIPAP1,GRPEL1,GTF2F2,HDAC2,HEATR3,HECTD1,HMOX1,HOOK1,HS2ST1,HS6ST2,HSBP1,HYOU1,IDE,IL17RA,IMPDH2,INHBE,INTS4,ITGB1,JAKMIP1,LARP1,LARP4B,LARP7,LMAN2,LOX,MAP7D1,MARK1,MARK2,MARK3,MAT2B,MDN1,MEPCE,MFGE8,MIB1,MIPOL1,MOGS,MOV10,MPHOSPH10,MRPS2,MRPS25,MRPS27,MRPS5,MTCH1,MYCBP2,NARS2,NAT14,NDFIP2,NDUFAF1,NDUFAF2,NDUFB9,NEK9,NEU1,NGDN,NGLY1,NIN,NINL,NLRX1,NOL10,NPC2,NPTX1,NSD2,NUP210,NUP214,NUP54,NUP58,NUP62,NUP88,NUP98,NUTF2,OS9,PABPC1,PABPC4,PCNT,PCSK6,PDE4DIP,PDZD11,PIGO,PIGS,PITRM1,PKP2,PLAT,PLD3,PLEKHA5,PLEKHF2,PLOD2,PMPCA,PMPCB,POFUT1,POGLUT2,POGLUT3,POLA1,POLA2,POR,PPIL3,PPT1,PRIM1,PRIM2,PRKACA,PRKAR2A,PRKAR2B,PRRC2B,PSMD8,PTBP2,PTGES2,PUSL1,PVR,QSOX2,RAB10,RAB14,RAB18,RAB1A,RAB2A,RAB5C,RAB7A,RAB8A,RAE1,RALA,RAP1GDS1,RBM28,RBM41,RBX1,RDX,REEP5,REEP6,RETREG3,RHOA,RIPK1,RNF41,RPL36,RRP9,RTN4,SAAL1,SBNO1,SCAP,SCARB1,SCCPDH,SDF2,SELENOS,SEPSECS,SIGMAR1,SIL1,SIRT5,SLC25A21,SLC27A2,SLC30A6,SLC30A7,SLC30A9,SLC44A2,SLC9A3R1,SLU7,SMOC1,SNIP1,SPART,SRP19,SRP54,SRP72,STC2,STOM,STOML2,SUN2,TAPT1,TARS2,TBCA,TBK1,TBKBP1,TCF12,THTPA,TIMM10,TIMM10B,TIMM29,TIMM8B,TIMM9,TLE1,TLE3,TLE5,TM2D3,TMED5,TMEM39B,TMEM97,TOMM70,TOR1A,TOR1AIP1,TRIM59,TRMT1,TUBGCP2,TUBGCP3,TYSND1,UBAP2,UBAP2L,UBXN8,UGGT2,UPF1,USP13,USP54,VPS11,VPS39,WASHC4,WFS1,YIF1A,ZC3H18,ZC3H7A,ZDHHC5,ZNF318,ZNF503,ZYG11B
Brain...Cerebellar.Hemisphere,28,47,23,34,14,7,6,19,46,18,22,1,10,44,39,32,49,1,13,49,37,44,1,19,2,4,2,4,5,33,31,11,27,37,26,46,27,49,41,35,4,22,1,36,35,41,39,8,25,26,22,16,23,36,17,22,25,41,31,10,15,42,47,14,35,13,12,40,5,24,3,37,8,2,16,5,10,16,5,5,1,29,33,18,4,36,37,3,33,30,22,45,34,9,16,31,2,46,47,46,23,45,33,26,4,49,32,1,21,44,48,1,8,6,10,18,37,8,49,27,7,26,23,17,18,48,1,18,44,10,2,3,49,9,36,9,12,25,27,47,34,5,24,47,15,20,30,25,48,43,10,1,13,1,8,3,8,44,15,47,32,49,13,15,3,19,1,35,8,8,1,20,9,21,4,18,19,4,5,14,2,34,30,48,1,4,6,33,8,25,8,29,30,31,33,40,34,5,26,4,39,34,10,20,23,38,18,23,48,42,25,25,39,21,35,19,21,46,13,17,4,29,9,26,18,3,22,7,2,12,19,2,29,16,6,18,6,40,35,39,4,31,6,12,9,4,34,6,19,5,45,27,2,38,27,3,23,2,7,34,29,38,46,30,29,48,3,45,9,33,37,2,42,15,3,21,19,27,27,36,22,46,48,19,40,10,9,28,20,10,36,28,24,37,12,35,23,36,46,1,2,44,38,13,2,20,40,46,20,15,18,9,29,33,41,47,2,16,17,6,18,34,23,38,2,18,37,10,47,2
Kidney...Cortex,29,34,40,30,35,9,45,26,19,34,33,29,36,30,30,42,28,24,37,17,18,41,37,23,6,20,17,6,28,22,21,32,35,34,35,39,48,14,26,15,44,45,47,33,33,31,19,23,48,45,42,32,28,43,31,46,43,34,32,45,46,24,30,38,44,17,33,33,8,31,39,43,46,41,46,24,44,44,43,44,43,24,46,6,40,31,15,43,30,46,34,4,37,46,42,39,31,19,41,16,28,35,38,28,45,33,36,43,36,36,1,32,25,10,14,41,14,42,17,36,47,43,30,38,24,14,41,11,45,44,42,42,6,12,44,17,27,22,38,37,32,23,32,30,49,45,37,41,11,21,47,45,38,41,17,48,26,38,42,33,18,11,46,27,28,40,29,41,46,28,30,30,37,46,39,42,5,41,36,43,6,22,32,13,48,44,9,7,38,27,35,33,36,45,24,29,37,46,42,43,38,4,12,45,28,7,41,19,16,30,38,23,25,22,26,45,22,16,43,39,43,30,47,35,43,43,41,45,30,36,23,40,43,41,44,28,45,10,42,24,39,42,44,45,24,44,38,40,17,40,29,28,46,33,38,37,40,44,36,48,39,29,34,16,45,30,38,23,3,32,31,20,20,4,44,47,43,39,44,34,41,21,38,29,43,46,46,30,42,35,44,29,37,26,39,27,33,46,26,45,46,17,40,41,45,41,46,35,38,26,42,15,34,36,28,35,35,39,47,41,43,30,45,32,44,33,22,38,9,46
Esophagus...Mucosa,30,22,33,7,4,14,10,21,28,20,29,40,27,33,34,31,31,42,33,14,1,15,33,30,16,32,26,15,13,38,10,26,25,16,40,21,39,4,37,26,34,32,40,24,32,35,32,29,43,21,29,27,26,6,38,39,36,24,24,37,38,27,31,33,29,19,32,14,24,42,26,36,43,35,31,29,20,33,33,33,16,35,42,2,48,16,29,27,16,11,25,8,2,44,32,44,24,31,30,48,26,38,30,36,39,28,17,41,22,42,30,44,27,11,39,34,29,43,25,7,22,41,33,25,32,20,39,27,17,24,17,7,20,2,43,3,7,24,19,34,13,46,29,33,32,27,8,29,3,26,38,19,1,24,30,34,31,29,32,24,28,12,3,30,33,27,18,39,22,34,44,4,42,30,32,37,42,31,31,36,17,1,21,24,39,29,12,15,26,34,28,22,28,39,29,2,33,35,15,46,16,20,26,32,14,21,43,8,10,22,36,33,31,34,22,22,16,12,24,45,17,26,42,19,35,36,29,42,19,3,33,46,1,3,14,14,10,36,24,25,14,1,24,31,27,21,35,46,7,8,24,18,44,8,23,38,28,29,19,39,48,30,22,33,18,34,47,2,8,25,29,40,13,1,43,45,20,43,23,33,24,35,34,26,25,44,18,22,34,32,35,42,21,35,19,2,35,37,5,29,45,42,26,29,24,43,38,8,16,32,36,4,14,27,23,40,25,46,23,42,40,33,43,30,33,45,1,35,11,42
Pituitary,31,19,31,23,7,12,40,42,25,38,26,6,1,6,20,16,29,19,15,2,34,32,32,26,22,6,6,25,25,35,16,9,24,29,4,3,15,44,14,32,19,21,39,17,3,1,22,22,9,12,18,20,34,44,1,43,29,25,22,29,34,41,23,30,3,42,31,22,37,3,28,4,31,20,4,23,33,8,26,11,20,20,1,36,6,11,24,32,22,45,30,17,23,25,3,43,13,32,31,8,15,5,20,20,27,26,34,25,12,5,16,14,15,47,13,24,12,34,30,1,2,44,3,31,27,18,7,32,14,12,6,21,42,10,17,32,19,2,29,23,24,4,27,22,11,10,27,17,12,38,30,10,7,16,38,27,28,25,34,20,3,7,14,14,14,26,23,4,31,18,6,41,14,6,30,12,2,30,34,6,13,25,27,16,22,21,5,13,33,4,7,9,20,32,23,35,29,3,17,10,15,7,27,18,6,32,1,32,31,28,6,26,23,20,29,40,35,4,11,29,27,31,8,25,16,22,11,34,1,5,3,1,38,32,30,12,15,42,32,31,26,41,26,18,21,30,26,34,29,12,30,17,17,21,26,43,20,24,10,26,15,3,13,34,34,4,14,24,2,22,16,4,47,40,36,34,15,19,1,4,15,27,43,27,35,24,14,10,19,30,39,17,25,15,10,13,18,42,33,28,16,16,17,47,27,21,19,36,28,19,32,34,30,20,36,8,15,7,35,8,9,26,13,2,32,21,17,32,31,31
Brain...Cerebellum,32,46,25,36,24,8,21,22,45,23,31,2,18,37,45,44,48,2,14,47,44,45,16,27,11,15,7,8,33,29,33,25,29,40,43,45,24,48,46,48,6,16,13,37,37,39,43,10,33,39,41,22,25,29,28,32,30,46,34,17,33,47,46,40,38,15,23,45,6,37,5,45,16,4,22,11,19,29,12,9,3,27,43,31,10,42,35,7,41,33,37,48,42,22,26,36,3,47,48,41,31,46,36,39,7,47,40,6,28,47,49,2,14,9,15,28,45,16,48,40,20,32,32,18,16,46,3,19,46,31,3,19,48,16,42,12,30,37,32,46,40,3,31,48,16,19,36,40,49,45,6,6,15,2,35,5,16,42,33,49,35,48,30,12,10,24,2,40,11,27,5,32,11,32,8,22,29,23,10,10,7,31,39,49,2,8,7,35,19,41,18,34,34,33,37,47,35,4,12,2,41,37,8,22,27,43,30,40,49,40,33,37,45,27,45,26,29,47,38,27,6,36,11,28,33,5,18,28,3,20,28,3,39,37,32,39,24,41,39,42,11,39,13,26,33,27,41,23,24,19,47,29,3,47,29,9,31,6,8,37,42,42,48,40,31,49,5,49,14,40,45,14,34,13,17,22,32,35,39,44,33,38,47,21,38,32,11,39,31,13,41,31,30,44,21,39,36,41,48,3,4,41,45,18,13,24,45,43,31,25,28,22,33,37,44,48,5,17,27,16,23,38,36,37,7,24,36,16,46,3
Small.Intestine...Terminal.Ileum,33,33,30,26,42,25,43,25,20,25,25,35,16,21,32,43,25,30,41,29,16,35,31,33,19,33,40,39,40,41,29,34,28,26,39,36,36,5,45,18,25,27,36,40,41,22,5,26,35,41,13,23,21,42,44,33,33,36,36,36,42,22,38,13,41,14,40,32,29,41,16,34,36,34,23,28,40,46,46,37,44,28,34,34,35,28,14,25,31,41,24,5,35,33,43,6,18,29,20,25,22,23,29,31,43,27,28,26,29,8,19,5,37,32,32,35,19,30,32,38,32,42,29,28,36,32,24,40,41,35,20,33,16,20,39,34,39,34,34,22,31,14,25,29,19,41,29,24,31,23,41,39,22,39,14,29,35,24,40,44,14,25,35,36,15,34,35,43,30,36,34,11,47,41,34,29,25,33,20,24,43,35,36,30,23,14,3,36,30,44,25,25,31,40,27,26,31,31,24,19,37,27,23,38,8,18,40,38,14,19,35,29,21,31,28,30,13,19,32,41,12,23,43,30,28,29,39,35,17,37,35,11,40,36,42,35,41,30,43,11,36,27,28,36,19,41,48,44,4,36,31,20,34,28,34,35,25,37,30,32,28,35,17,4,24,37,31,43,6,30,26,41,38,9,39,39,28,44,33,38,36,30,32,32,23,36,35,44,30,42,27,38,45,33,31,41,38,33,14,39,41,27,33,30,39,36,41,13,18,34,27,23,37,34,43,39,36,30,36,33,29,19,40,31,30,25,29,27,33,40
Muscle...Skeletal,34,29,27,13,25,2,42,37,22,31,12,13,6,32,47,48,14,47,47,43,35,42,5,40,15,34,47,47,41,12,35,37,4,2,37,16,3,46,20,45,43,2,6,39,48,48,44,46,22,1,47,35,42,45,48,28,1,35,25,4,39,44,39,45,47,24,37,15,15,9,46,29,48,3,26,2,23,28,13,29,41,31,44,44,45,40,3,35,43,8,28,40,40,32,13,46,1,34,37,47,32,44,35,33,40,2,13,9,42,41,31,35,29,49,9,6,39,49,10,34,43,46,42,43,38,42,45,7,29,39,12,1,18,35,47,21,45,48,3,49,12,10,34,28,44,24,3,35,46,41,4,42,30,14,41,19,25,17,43,28,37,46,20,17,5,20,6,45,42,5,48,31,3,23,1,11,41,19,3,33,47,12,22,47,28,42,29,23,32,17,24,3,5,41,48,45,1,1,14,1,48,47,33,12,18,40,47,46,30,47,10,34,33,48,47,25,37,33,46,48,35,47,1,1,47,26,1,38,4,47,34,45,6,44,41,48,23,49,21,49,41,45,49,13,8,36,11,38,43,34,37,33,33,41,18,34,43,17,44,45,14,45,33,35,48,25,4,26,39,29,44,45,12,49,16,25,41,37,43,35,40,28,42,7,16,1,3,46,21,19,38,10,22,48,11,6,22,7,40,17,39,13,44,22,8,47,17,49,33,35,40,45,3,24,46,46,34,1,1,44,30,31,44,20,29,19,23,30,45,1
Brain...Cortex,35,42,39,39,29,39,9,38,43,37,34,21,33,39,44,40,46,5,3,37,41,36,39,38,17,41,3,3,30,31,36,30,26,31,23,28,31,15,43,34,15,30,23,35,21,24,31,1,36,36,31,36,32,31,20,37,42,21,33,18,27,21,34,23,10,18,19,41,14,36,22,47,13,15,37,15,27,24,10,28,39,34,22,28,33,45,39,26,36,12,46,35,31,29,23,5,22,45,34,27,35,37,26,48,2,43,47,20,30,28,45,15,36,15,4,31,36,2,44,32,30,19,27,21,23,26,4,23,42,41,35,37,41,21,11,15,14,15,40,35,37,22,38,46,4,14,34,45,36,44,12,13,4,21,33,16,11,34,38,42,34,36,39,25,23,28,33,3,6,41,3,7,8,33,11,39,23,36,29,23,35,32,40,46,4,10,11,27,35,33,36,37,37,16,35,44,40,6,29,18,9,35,19,17,33,39,4,27,40,41,21,32,43,39,46,38,32,26,27,5,25,38,20,42,12,7,24,30,6,18,32,23,36,22,34,29,32,12,28,35,13,30,7,37,40,35,40,7,11,22,38,31,6,40,33,11,36,10,9,14,23,28,47,47,27,47,6,42,16,41,38,17,21,10,5,20,33,32,24,41,38,37,44,35,34,25,6,40,29,2,45,19,11,28,26,45,42,25,27,8,13,35,19,15,32,19,39,22,13,11,30,33,28,25,25,28,27,37,22,3,11,41,26,43,21,36,33,26,39,21
Brain...Frontal.Cortex..BA9.,36,41,36,38,26,33,1,31,35,27,32,17,35,36,38,21,45,4,1,39,33,33,11,31,1,10,1,1,8,37,34,28,30,28,10,31,35,19,31,31,9,34,12,25,18,25,25,2,27,22,32,33,38,30,19,36,31,16,27,7,14,4,33,8,5,16,8,38,11,11,23,40,3,13,28,4,18,11,2,10,31,36,6,13,13,35,36,19,24,6,38,33,10,10,8,2,9,42,33,40,34,33,34,38,1,40,37,2,33,2,41,10,32,13,1,26,34,1,45,24,15,7,28,19,20,27,2,15,33,26,32,29,44,11,4,5,6,8,39,40,36,20,37,43,2,4,28,36,35,33,16,3,8,11,3,17,14,32,19,30,33,43,24,29,16,23,14,2,5,24,2,3,4,20,6,35,15,25,18,26,28,37,33,42,3,7,19,32,31,18,31,36,38,7,31,41,39,10,25,17,2,36,24,14,29,34,2,10,35,33,19,21,37,36,44,35,33,28,8,3,21,34,14,34,5,9,25,8,5,17,17,17,16,9,5,8,5,13,12,36,5,12,2,33,36,6,30,1,8,11,35,32,1,35,32,2,32,4,16,15,9,24,38,38,25,39,1,35,10,39,33,1,27,17,1,16,23,25,4,29,29,34,40,31,36,6,10,24,13,1,40,12,3,11,20,37,28,14,30,2,1,33,15,12,12,8,30,27,11,18,22,30,27,23,13,20,31,32,19,4,7,36,20,42,23,32,34,25,30,5
Liver,37,14,48,49,41,4,41,49,39,30,36,45,31,38,18,18,27,41,48,48,28,48,46,12,39,47,49,37,46,21,25,43,37,46,41,47,45,26,47,47,49,48,49,48,16,37,1,48,47,49,48,38,35,10,43,47,49,45,47,47,48,45,27,48,46,47,47,34,40,39,47,44,30,37,25,35,47,48,47,46,46,5,47,48,11,15,1,37,42,42,39,12,38,15,47,48,36,40,46,30,33,47,45,30,44,38,30,46,26,46,12,34,1,1,35,48,40,47,33,45,45,45,43,40,40,10,46,3,48,48,31,35,10,4,41,49,47,9,30,39,45,1,36,34,48,48,46,47,2,47,49,48,49,49,46,30,43,48,47,43,17,14,43,10,36,39,22,49,48,16,47,34,26,48,46,38,38,45,28,49,25,36,35,44,49,48,4,46,44,45,39,17,35,48,28,34,38,47,3,44,46,33,49,47,10,46,48,44,28,18,3,31,11,23,34,48,49,1,40,49,41,43,39,36,48,48,46,47,48,40,8,43,48,19,45,33,43,43,48,16,45,47,45,48,35,47,33,47,2,27,48,26,49,44,44,45,48,45,11,3,5,39,32,1,2,7,7,44,1,34,19,48,49,2,49,5,38,47,32,13,42,45,16,36,30,27,15,32,40,49,46,46,40,45,46,32,47,23,39,49,43,3,41,5,31,34,47,42,45,46,38,28,48,47,5,44,40,44,48,49,49,32,47,4,46,38,32,42,41,37
Brain...Nucleus.accumbens..basal.ganglia.,38,40,35,44,38,36,17,45,42,44,42,31,38,43,37,13,42,20,19,35,45,38,28,35,13,14,19,9,34,45,43,42,43,36,7,24,47,30,32,42,11,40,24,29,27,43,26,5,28,20,40,44,45,32,22,29,41,37,42,28,22,30,32,27,7,38,24,46,39,22,42,17,39,31,40,38,30,9,14,36,14,43,32,27,15,41,42,31,38,15,43,21,6,26,45,13,41,30,40,35,45,31,40,46,8,46,41,19,43,25,42,29,38,20,6,40,41,12,38,39,40,23,39,30,39,41,6,41,22,30,27,38,30,19,6,2,17,16,43,15,41,28,46,45,1,37,40,39,40,39,26,11,19,44,31,15,32,30,27,31,41,32,36,39,22,37,39,7,20,43,10,10,19,19,13,40,35,37,47,37,15,40,45,40,10,31,22,40,42,36,41,40,46,20,39,36,45,11,32,30,18,39,35,41,21,37,11,24,42,29,40,42,41,44,42,41,39,30,33,15,44,44,40,46,8,28,40,21,14,44,40,14,34,38,19,37,17,32,36,43,15,17,14,41,44,34,36,9,5,39,41,41,23,36,31,18,38,26,33,10,20,34,41,43,35,38,19,29,21,43,40,16,26,22,20,18,36,23,29,39,39,44,21,41,44,19,27,26,43,37,33,35,13,40,38,40,37,17,42,33,17,36,30,32,1,35,29,30,36,37,39,40,39,38,17,42,38,42,26,29,25,40,2,40,31,37,44,40,18,29
Brain...Substantia.nigra,39,31,21,41,39,31,25,32,32,22,45,47,42,34,33,29,34,40,30,25,30,20,43,41,12,35,32,12,35,44,40,40,48,44,24,37,28,18,27,27,24,29,35,30,39,40,34,20,34,28,24,42,41,20,32,31,26,42,38,38,17,33,36,24,4,40,42,36,44,38,37,33,15,45,36,44,37,15,29,40,34,40,36,5,39,39,40,42,37,39,33,26,25,37,20,25,44,41,32,21,41,36,32,35,24,37,35,36,34,37,33,39,40,28,34,37,32,27,37,42,37,2,38,32,43,25,11,39,16,37,37,41,14,33,33,19,5,31,41,21,39,25,35,32,10,39,41,23,38,35,22,25,45,43,39,28,39,40,29,32,44,37,33,43,43,43,40,24,35,39,20,35,18,36,7,36,43,39,43,41,23,45,38,20,46,26,21,38,37,35,40,41,42,19,40,33,43,45,4,22,6,38,42,39,41,24,31,37,33,32,42,43,40,35,31,29,31,45,19,16,36,32,33,39,23,42,43,13,40,41,39,44,14,29,21,36,38,19,19,34,43,8,4,38,34,11,20,28,18,42,26,39,38,32,42,17,35,39,42,25,8,37,35,36,40,36,24,27,33,37,36,23,22,18,25,7,40,18,38,37,35,29,28,42,26,23,36,21,35,21,19,26,19,27,41,31,39,43,35,43,30,31,43,34,47,42,25,5,42,40,37,41,41,43,10,33,42,36,5,35,38,28,32,36,43,34,45,39,29,36
Brain...Hypothalamus,40,43,32,35,34,32,12,41,34,29,41,36,39,40,31,24,39,23,23,32,36,30,27,42,7,29,10,5,32,43,41,41,40,47,5,32,42,24,24,30,12,35,30,42,26,28,42,13,37,30,23,34,39,35,23,41,35,38,39,25,23,25,37,25,2,37,35,37,42,26,31,26,17,43,33,40,36,18,25,32,25,41,19,14,30,37,44,38,28,28,35,27,20,19,28,17,40,39,35,17,38,40,37,37,11,41,33,15,38,33,40,27,44,16,18,36,35,21,46,26,29,6,40,36,44,28,8,34,15,32,33,36,26,25,20,4,3,12,42,38,35,17,33,36,7,22,39,28,39,32,24,14,34,35,27,26,36,43,21,29,39,33,27,41,34,42,36,8,25,35,9,33,16,28,19,32,31,35,39,44,14,44,37,31,13,22,15,39,36,23,34,38,41,15,38,39,44,34,16,25,3,43,38,43,35,27,5,31,44,31,41,44,48,38,32,34,41,25,10,14,38,39,22,31,15,32,37,12,23,39,24,27,22,23,7,23,16,33,23,38,28,20,8,39,38,8,22,12,25,38,33,36,20,34,37,15,33,30,37,21,11,31,37,37,28,35,28,20,11,38,35,18,40,29,22,10,34,24,18,30,32,39,37,40,42,29,24,12,27,8,29,41,20,18,37,38,34,39,34,36,5,34,27,23,33,32,27,16,35,38,31,36,38,35,11,27,41,31,11,30,32,35,34,41,37,35,41,37,35,14
Brain...Anterior.cingulate.cortex..BA24.,41,44,46,42,36,38,7,36,38,33,37,32,43,42,43,30,44,14,9,42,38,28,34,39,9,23,8,2,26,40,42,36,38,38,13,35,44,12,35,36,17,38,25,31,23,36,29,3,40,32,39,39,43,28,29,45,40,29,35,35,26,6,35,19,16,28,28,43,36,23,32,42,12,33,35,27,31,10,6,27,33,39,30,29,31,43,38,30,35,19,42,31,16,27,29,9,39,44,43,26,40,28,41,43,3,36,42,16,39,24,43,24,39,14,5,38,38,3,42,35,33,17,41,34,33,30,5,35,38,38,39,40,38,22,5,6,9,19,44,42,43,18,42,44,5,16,38,43,41,36,28,9,21,29,25,36,29,36,28,38,42,41,38,38,26,38,38,6,17,38,8,6,10,26,9,45,33,38,41,34,26,41,41,41,6,11,25,41,39,29,38,42,44,10,36,42,41,29,35,20,4,41,31,27,26,36,7,36,37,35,37,40,44,42,41,39,40,35,30,7,31,37,28,41,11,15,32,22,9,26,36,35,25,27,16,26,22,24,20,37,27,24,10,40,42,12,39,10,14,30,36,38,13,31,39,14,39,12,32,23,27,36,43,42,33,42,13,36,15,45,39,7,29,16,13,15,35,31,25,40,37,36,36,39,47,17,23,27,37,3,34,27,8,29,33,34,40,27,32,7,9,38,28,19,34,22,32,33,32,33,34,38,32,30,20,29,37,38,29,26,27,44,29,45,36,40,40,36,40,19
Brain...Caudate..basal.ganglia.,42,32,42,46,44,35,18,44,37,45,39,37,44,47,42,19,37,37,34,40,47,39,38,44,18,39,38,23,39,48,46,45,47,39,33,38,46,45,29,44,28,43,33,41,30,47,28,4,38,31,38,40,48,37,33,27,45,40,45,39,31,29,42,39,17,45,41,47,46,29,43,39,38,36,44,41,41,25,32,42,27,48,38,24,26,48,45,39,44,25,44,23,15,36,44,14,43,33,38,45,46,27,44,45,13,39,44,42,44,19,37,33,42,30,22,45,44,24,39,47,44,10,45,39,42,44,22,46,37,36,40,45,39,23,12,11,33,32,46,11,44,48,47,41,3,43,45,42,45,42,34,21,33,45,44,38,41,35,37,35,46,40,42,42,40,44,45,27,36,47,11,15,36,31,23,43,39,40,48,31,20,43,46,37,14,38,24,45,41,46,44,47,48,34,44,46,47,24,19,32,23,42,43,44,32,31,23,22,39,23,44,46,42,45,38,42,46,40,41,18,45,46,44,47,10,41,45,25,29,45,44,33,41,42,31,43,33,27,37,44,40,32,15,44,47,37,28,11,9,44,42,44,35,45,40,20,45,41,38,8,34,41,42,45,39,40,22,37,31,46,43,33,25,14,35,14,44,22,42,46,45,43,19,44,32,20,42,36,44,43,31,39,31,41,40,46,43,16,44,38,29,40,39,38,5,40,37,19,41,42,44,42,45,44,27,38,43,43,8,34,39,46,12,44,35,44,46,47,21,39
Heart...Atrial.Appendage,43,25,47,29,37,6,47,30,14,47,40,44,40,31,46,45,24,45,40,41,43,46,29,11,31,3,43,48,45,34,39,47,39,3,45,44,41,43,22,41,47,42,45,46,7,29,24,43,32,25,45,21,27,46,46,30,27,47,43,46,40,43,17,44,40,36,44,35,34,27,41,30,24,8,42,46,46,43,35,39,29,37,37,40,44,34,10,46,46,48,41,14,11,45,27,41,38,8,11,22,37,20,43,18,47,14,38,44,49,45,38,48,35,45,12,44,33,45,13,29,42,47,36,45,35,38,47,43,39,45,47,39,43,30,46,44,41,35,28,41,38,40,44,18,47,44,42,27,34,11,15,27,44,33,40,46,47,16,44,26,40,39,45,40,31,33,37,29,40,42,37,38,31,34,5,26,40,46,38,25,40,26,42,33,47,47,40,47,46,43,47,39,32,44,34,38,17,40,8,5,40,46,45,33,2,29,34,7,41,21,34,38,28,18,18,36,42,38,45,44,47,41,4,33,22,40,13,44,12,43,18,47,45,46,43,42,42,46,44,47,46,44,47,27,43,45,37,37,45,48,39,42,39,42,46,40,44,46,47,44,38,47,36,46,43,27,9,21,47,36,34,37,41,48,45,29,46,41,47,43,46,14,25,37,39,45,44,45,46,33,43,43,43,46,47,9,45,45,38,16,47,28,46,46,41,46,34,45,47,47,47,47,43,40,47,24,47,4,33,45,45,42,22,35,47,42,35,45,32,28
Brain...Amygdala,44,37,41,45,45,42,19,35,36,41,44,41,47,41,36,26,40,34,28,31,39,21,42,43,21,36,30,10,38,46,44,38,44,43,28,41,38,13,33,38,27,39,34,38,40,45,35,11,41,35,37,41,46,24,36,42,39,39,41,42,28,8,40,18,25,39,43,39,43,40,35,41,28,47,43,43,39,13,20,38,35,44,41,22,37,44,43,41,39,34,36,29,27,40,36,21,46,37,44,23,42,29,42,42,6,34,39,34,40,32,44,40,41,19,27,39,43,13,41,43,39,3,44,44,37,36,18,42,27,42,44,46,29,26,8,8,11,43,47,33,42,39,43,38,8,40,43,38,44,40,35,28,39,37,37,43,42,41,26,37,47,34,41,46,44,45,46,32,34,44,15,19,28,35,12,44,44,43,45,30,31,48,43,36,7,24,26,42,43,39,42,45,45,18,43,37,42,44,22,27,11,40,40,40,31,35,26,45,34,27,43,45,38,40,36,33,43,39,37,19,39,35,38,43,17,30,42,23,37,38,45,38,27,39,25,40,29,35,27,40,34,19,12,42,41,16,24,27,16,43,34,43,27,30,45,24,41,35,40,24,30,43,40,41,37,44,43,31,23,44,42,28,28,11,31,8,39,30,35,42,43,41,33,43,37,18,43,31,41,7,26,33,23,36,43,36,41,24,36,21,27,37,37,26,44,39,33,11,43,41,41,44,36,39,21,37,45,40,13,39,42,37,30,39,38,41,48,41,42,34
