"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"GFER","ENSG00000127554","protein_coding",2671,"16","SARS-CoV2 nsp10"
"GGCX","ENSG00000115486","protein_coding",2677,"2","SARS-CoV2 M"
"GGH","ENSG00000137563","protein_coding",8836,"8","SARS-CoV2 orf8"
"GHITM","ENSG00000165678","protein_coding",27069,"10","SARS-CoV2 orf9c"
"GIGYF2","ENSG00000204120","protein_coding",26058,"2","SARS-CoV2 nsp2"
"GLA","ENSG00000102393","protein_coding",2717,"X","SARS-CoV2 nsp14"
"GNB1","ENSG00000078369","protein_coding",2782,"1","SARS-CoV2 nsp7"
"GNG5","ENSG00000174021","protein_coding",2787,"1","SARS-CoV2 nsp7"
"GOLGA2","ENSG00000167110","protein_coding",2801,"9","SARS-CoV2 nsp13"
"GOLGA3","ENSG00000090615","protein_coding",2802,"12","SARS-CoV2 nsp13"
"GOLGA7","ENSG00000147533","protein_coding",51125,"8","SARS-CoV2 Spike"
"GOLGB1","ENSG00000173230","protein_coding",2804,"3","SARS-CoV2 nsp13"
"GORASP1","ENSG00000114745","protein_coding",64689,"3","SARS-CoV2 nsp13"
"GPAA1","ENSG00000197858","protein_coding",8733,"8","SARS-CoV2 orf9c"
"GPX1","ENSG00000233276","polymorphic_pseudogene",2876,"3","SARS-CoV2 nsp5_C145A"
"GRIPAP1","ENSG00000068400","protein_coding",56850,"X","SARS-CoV2 nsp13"
"GRPEL1","ENSG00000109519","protein_coding",80273,"4","SARS-CoV2 nsp10"
"GTF2F2","ENSG00000188342","protein_coding",2963,"13","SARS-CoV2 nsp9"
"HDAC2","ENSG00000196591","protein_coding",3066,"6","SARS-CoV2 nsp5"
"HEATR3","ENSG00000155393","protein_coding",55027,"16","SARS-CoV2 orf7a"
"HECTD1","ENSG00000092148","protein_coding",25831,"14","SARS-CoV2 nsp8"
"HMOX1","ENSG00000100292","protein_coding",3162,"22","SARS-CoV2 orf3a"
"HOOK1","ENSG00000134709","protein_coding",51361,"1","SARS-CoV2 nsp13"
"HS2ST1","ENSG00000153936","protein_coding",9653,"1","SARS-CoV2 nsp7"
"HS6ST2","ENSG00000171004","protein_coding",90161,"X","SARS-CoV2 orf8"
"HSBP1","ENSG00000230989","protein_coding",3281,"16","SARS-CoV2 nsp13"
"HYOU1","ENSG00000149428","protein_coding",10525,"11","SARS-CoV2 orf8"
"IDE","ENSG00000119912","protein_coding",3416,"10","SARS-CoV2 nsp4"
"IL17RA","ENSG00000177663","protein_coding",23765,"22","SARS-CoV2 orf8"
"IMPDH2","ENSG00000178035","protein_coding",3615,"3","SARS-CoV2 nsp14"
"INHBE","ENSG00000139269","protein_coding",83729,"12","SARS-CoV2 orf8"
"INTS4","ENSG00000149262","protein_coding",92105,"11","SARS-CoV2 M"
"ITGB1","ENSG00000150093","protein_coding",3688,"10","SARS-CoV2 orf8"
"JAKMIP1","ENSG00000152969","protein_coding",152789,"4","SARS-CoV2 nsp13"
"LARP1","ENSG00000155506","protein_coding",23367,"5","SARS-CoV2 N"
"LARP4B","ENSG00000107929","protein_coding",23185,"10","SARS-CoV2 nsp12"
"LARP7","ENSG00000174720","protein_coding",51574,"4","SARS-CoV2 nsp8"
"LMAN2","ENSG00000169223","protein_coding",10960,"5","SARS-CoV2 nsp7"
"LOX","ENSG00000113083","protein_coding",4015,"5","SARS-CoV2 orf8"
"MAP7D1","ENSG00000116871","protein_coding",55700,"1","SARS-CoV2 orf10"
"MARK1","ENSG00000116141","protein_coding",4139,"1","SARS-CoV2 orf9b"
"MARK2","ENSG00000072518","protein_coding",2011,"11","SARS-CoV2 orf9b"
"MARK3","ENSG00000075413","protein_coding",4140,"14","SARS-CoV2 orf9b"
"MAT2B","ENSG00000038274","protein_coding",27430,"5","SARS-CoV2 nsp9"
"MDN1","ENSG00000112159","protein_coding",23195,"6","SARS-CoV2 orf7a"
"MEPCE","ENSG00000146834","protein_coding",56257,"7","SARS-CoV2 nsp8"
"MFGE8","ENSG00000140545","protein_coding",4240,"15","SARS-CoV2 orf8"
"MIB1","ENSG00000101752","protein_coding",57534,"18","SARS-CoV2 nsp9"
"MIPOL1","ENSG00000151338","protein_coding",145282,"14","SARS-CoV2 nsp13"
"MOGS","ENSG00000115275","protein_coding",7841,"2","SARS-CoV2 nsp7"
"MOV10","ENSG00000155363","protein_coding",4343,"1","SARS-CoV2 N"
"MPHOSPH10","ENSG00000124383","protein_coding",10199,"2","SARS-CoV2 nsp8"
"MRPS2","ENSG00000122140","protein_coding",51116,"9","SARS-CoV2 nsp8"
"MRPS25","ENSG00000131368","protein_coding",64432,"3","SARS-CoV2 nsp8"
"MRPS27","ENSG00000113048","protein_coding",23107,"5","SARS-CoV2 nsp8"
"MRPS5","ENSG00000144029","protein_coding",64969,"2","SARS-CoV2 nsp8"
"MTCH1","ENSG00000137409","protein_coding",23787,"6","SARS-CoV2 orf6"
"MYCBP2","ENSG00000005810","protein_coding",23077,"13","SARS-CoV2 nsp12"
"NARS2","ENSG00000137513","protein_coding",79731,"11","SARS-CoV2 nsp8"
"NAT14","ENSG00000090971","protein_coding",57106,"19","SARS-CoV2 nsp7"
"NDFIP2","ENSG00000102471","protein_coding",54602,"13","SARS-CoV2 orf9c"
"NDUFAF1","ENSG00000137806","protein_coding",51103,"15","SARS-CoV2 orf9c"
